minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6264060451177089,35.0054747071304,15.078328911413383,35.97498842814889,8.684978376131752,14.496674155533096,12.851776339921912,31.180532441998505
0,Marvin the Martian,0.6052208898687979,34.259719940312024,15.011359115715672,30.78430624920135,6.106294815808285,21.944812738920245,10.167250587228276,19.13592958448147
0,Road Runner,0.618379132806147,27.161861086107482,12.210695681411211,36.27317387029368,4.680567608575739,31.016763309043935,16.073577311114654,26.969483551378442
0,Foghorn Leghorn,0.6008271516465419,29.03581148659637,16.513812406140744,33.96220951741494,3.900653309453153,17.057511414246946,13.31553188504231,27.391153234763333
0,Bugs Bunny,0.6430251027853102,33.28415493470059,16.566678674740842,35.64467003410154,5.542134543808249,12.568151599975733,11.682704100049005,31.29301432861205
0,Elmer Fudd,0.6147301788223217,29.773063992314654,13.94807014378271,35.25184704888761,4.204735977088436,29.39128718264209,17.016298394238593,27.875421438532353
0,Lola Bunny,0.635986771920933,34.46331433194446,14.11855106903708,36.91589777583904,3.9224700202177036,20.096388913182214,16.68976778501719,35.82462794649355
0,Porky Pig,0.6027446720088051,30.869460998503765,16.07592981478649,35.978998492633416,4.0844284021343995,15.34970706672609,13.95027610546159,31.025129582553543
0,Tasmanian Devil,0.615520651860233,28.797049109184243,15.343782052143384,32.5068205279897,5.718822854862417,23.523941337931948,11.420909075666636,20.89145761322784
0,Gossamer,0.6160726779330138,33.5202433180127,16.93138092208943,38.00234536358662,4.721078910039575,13.715249511385526,15.159687462228117,35.312551368147794
0,Granny,0.5950682041802671,27.48723228064536,14.68359417720815,36.75024191359208,8.311990266828001,20.168802451274885,11.828121452677843,24.499324050774202
0,Wile E. Coyote,0.6080181145519564,34.81420419392943,14.121984722696743,35.342079428754104,5.7452710015017665,26.68163870006607,14.676149946080649,25.98967839537408
0,Tweety,0.62027796575939,26.59430004313969,13.849104810183436,38.37249731551813,6.515473062894717,22.771065845790552,10.210621915563653,23.876924941566433
0,Penelope,0.6138524856487424,29.81287613381418,15.846411549093617,30.662477893114996,7.80635014548677,12.173233234270626,9.186040372497237,22.916961164591545
0,Daffy Duck,0.625781035609452,32.741952402987856,14.453154979422017,31.143781094674118,7.001031083875326,18.225592565956738,11.73330821057288,24.936457397947958
12,Sylvester,0.6216589104881232,30.274379226961294,15.032955324344524,38.56498327100571,8.906346583207993,16.584567141163355,15.350390758818492,34.1408775948714
12,Marvin the Martian,0.6217198842857002,33.456674027167175,14.330142240587488,32.5492732942182,7.830661357623363,16.07787307995362,9.129830199091598,23.194014280512295
